id	name	status
cpd00794	TRHL-e0	TRUE
cpd00023	L-Glutamate-e0	TRUE
cpd00027	D-Glucose-e0	TRUE
cpd00028	Heme-e0	FALSE
cpd00039	L-Lysine-e0	FALSE
cpd00041	L-Aspartate-e0	TRUE
cpd00051	L-Arginine-e0	FALSE
cpd00053	L-Glutamine-e0	TRUE
cpd00064	Ornithine-e0	TRUE
cpd00098	Choline-e0	TRUE
cpd00105	D-Ribose-e0	TRUE
cpd00107	L-Leucine-e0	FALSE
cpd00108	Galactose-e0	TRUE
cpd00118	Putrescine-e0	FALSE
cpd00119	L-Histidine-e0	FALSE
cpd00129	L-Proline-e0	TRUE
cpd00154	Xylose-e0	TRUE
cpd00156	L-Valine-e0	FALSE
cpd00161	L-Threonine-e0	TRUE
cpd00179	Maltose-e0	TRUE
cpd00209	Nitrate-e0	FALSE
cpd00224	L-Arabinose-e0	TRUE
cpd00244	Ni2+-e0	FALSE
cpd00264	Spermidine-e0	FALSE
cpd00305	Thiamin-e0	FALSE
cpd00540	BET-e0	FALSE
cpd00092	Uracil-e0	FALSE
cpd00249	Uridine-e0	TRUE
cpd00309	XAN-e0	FALSE
cpd00311	Guanosine-e0	FALSE
cpd00137	Citrate-e0	FALSE
cpd00035	L-Alanine-e0	TRUE
cpd00060	L-Methionine-e0	FALSE
cpd00084	L-Cysteine-e0	TRUE
cpd00013	NH3-e0	FALSE
cpd00020	Pyruvate-e0	TRUE
cpd00139	Glycolate-e0	TRUE
cpd00029	Acetate-e0	FALSE
cpd04098	Arsenite-e0	FALSE
cpd00307	Cytosine-e0	FALSE
cpd00082	D-Fructose-e0	TRUE
cpd00106	Fumarate-e0	TRUE
cpd00276	GLUM-e0	TRUE
cpd00222	GLCN-e0	TRUE
cpd00033	Glycine-e0	TRUE
cpd00121	L-Inositol-e0	FALSE
cpd00208	LACT-e0	TRUE
cpd00159	L-Lactate-e0	TRUE
cpd01262	Amylotriose-e0	TRUE
cpd00138	D-Mannose-e0	TRUE
cpd00314	D-Mannitol-e0	TRUE
cpd00141	Propionate-e0	FALSE
cpd00396	L-Rhamnose-e0	FALSE
cpd01030	Salicin-e0	FALSE
cpd00048	Sulfate-e0	FALSE
cpd00036	Succinate-e0	TRUE
cpd00076	Sucrose-e0	TRUE
cpd00065	L-Tryptophan-e0	FALSE
cpd00280	D-Galacturonate-e0	FALSE
cpd01092	Allantoin-e0	FALSE
cpd00211	Butyrate-e0	FALSE
cpd00751	L-Fucose-e0	FALSE
cpd00132	L-Asparagine-e0	TRUE
cpd01015	Cyanate-e0	FALSE
cpd00277	Deoxyguanosine-e0	FALSE
cpd00221	D-Lactate-e0	TRUE
cpd00412	Deoxyuridine-e0	FALSE
cpd01107	Decanoate-e0	FALSE
cpd01741	ddca-e0	FALSE
cpd03847	Myristic acid-e0	FALSE
cpd15298	tetradecenoate-e0	FALSE
cpd00214	Palmitate-e0	FALSE
cpd15237	hexadecenoate-e0	FALSE
cpd01080	ocdca-e0	FALSE
cpd15269	octadecenoate-e0	FALSE
cpd01113	Hexanoate-e0	FALSE
cpd03846	octanoate-e0	FALSE
cpd00531	Hg2+-e0	FALSE
cpd01399	Maltotetraose-e0	TRUE
cpd00588	Sorbitol-e0	TRUE
cpd04097	Pb-e0	FALSE
cpd00185	D-Arabinose-e0	FALSE
cpd00010	CoA-e0	FALSE
cpd15494	Maltoheptaose-e0	TRUE
cpd00054	L-Serine-e0	TRUE
cpd11976	Maltodextrin-e0	TRUE
cpd00100	Glycerol-e0	TRUE
cpd00306	Xylitol-e0	TRUE
cpd00210	Taurine-e0	FALSE
cpd00158	CELB-e0	TRUE
cpd02733	Deoxycholate-e0	FALSE
cpd01354	beta-Lactose-e0	TRUE
cpd03808	Lacto-N-biose-e0	FALSE
cpd90008	Maltotridecaose-e0	TRUE
cpd90005	Maltooctaose-e0	TRUE
cpd90007	Maltohexaose-e0	TRUE
cpd90006	Maltoundecaose-e0	TRUE
cpd23431	3-dehydrocholate-e0	FALSE
cpd23430	isocholate-e0	TRUE
cpd90020	Cellulose-e0	TRUE
cpd01981	5-Methylthio-D-ribose-e0	FALSE
cpd00073	Urea-e0	FALSE
cpd01861	(R)-1,2-Propanediol-e0	TRUE
cpd00453	1,2-Propanediol-e0	TRUE
cpd00071	Acetaldehyde-e0	TRUE
cpd00150	HCN-e0	FALSE
cpd08021	DMSO-e0	FALSE
cpd00450	Methyl sulfide-e0	FALSE
cpd00363	Ethanol-e0	TRUE
cpd00055	Formaldehyde-e0	TRUE
cpd00448	D-Glyceraldehyde-e0	TRUE
cpd00025	H2O2-e0	FALSE
cpd00239	H2S-e0	FALSE
cpd11640	H2-e0	FALSE
