TREE_COLORS								
SEPARATOR TAB								
COLOR	#a6cee3							
DATASET_LABEL	Taxonomy							
LEGEND_COLORS	#EEE685	#4F94CD	#EE7600	#00CD00	#43CD80	#90EE90	#919191
LEGEND_LABELS	Actinobacteria	Bacteroidetes	Firmicutes	Alphaproteobacteria	Betaproteobacteria	Gammaproteobacteria	Others
LEGEND_SHAPES	1	1	1	1	1	1	1	1
LEGEND_TITLE	Taxonomy							
DATA								
HQB-548	range	#90EE90	Gammaproteobacteria					
HQB-549	range	#90EE90	Gammaproteobacteria					
HQB-550	range	#4F94CD	Bacteroidetes					
HQB-551	range	#90EE90	Gammaproteobacteria					
HQB-552	range	#90EE90	Gammaproteobacteria					
HQB-553	range	#90EE90	Gammaproteobacteria					
HQB-554	range	#00CD00	Alphaproteobacteria					
HQB-555	range	#90EE90	Gammaproteobacteria					
HQB-556	range	#EE7600	Firmicutes					
HQB-557	range	#EE7600	Firmicutes					
HQB-558	range	#EE7600	Firmicutes					
HQB-559	range	#90EE90	Gammaproteobacteria					
HQB-560	range	#90EE90	Gammaproteobacteria					
HQB-561	range	#00CD00	Alphaproteobacteria					
HQB-562	range	#43CD80	Betaproteobacteria					
HQB-563	range	#EE7600	Firmicutes					
HQB-564	range	#EE7600	Firmicutes					
HQB-565	range	#43CD80	Betaproteobacteria					
HQB-566	range	#00CD00	Alphaproteobacteria					
HQB-568	range	#4F94CD	Bacteroidetes					
HQB-569	range	#00CD00	Alphaproteobacteria					
HQB-570	range	#43CD80	Betaproteobacteria					
HQB-571	range	#90EE90	Gammaproteobacteria					
HQB-572	range	#EE7600	Firmicutes					
HQB-573	range	#4F94CD	Bacteroidetes					
HQB-576	range	#90EE90	Gammaproteobacteria					
HQB-577	range	#90EE90	Gammaproteobacteria					
HQB-578	range	#90EE90	Gammaproteobacteria					
HQB-579	range	#00CD00	Alphaproteobacteria					
HQB-580	range	#43CD80	Betaproteobacteria					
HQB-581	range	#00CD00	Alphaproteobacteria					
HQB-582	range	#EEE685	Actinobacteria					
HQB-583	range	#43CD80	Betaproteobacteria					
HQB-584	range	#4F94CD	Bacteroidetes					
HQB-585	range	#919191	Others					
HQB-586	range	#90EE90	Gammaproteobacteria					
HQB-587	range	#EEE685	Actinobacteria					
