TREE_COLORS								
SEPARATOR TAB								
COLOR	#a6cee3							
DATASET_LABEL	Taxonomy							
LEGEND_COLORS	#EEE685	#4F94CD	#EE7600	#00CD00	#43CD80	#90EE90	#919191
LEGEND_LABELS	Actinobacteria	Bacteroidetes	Firmicutes	Alphaproteobacteria	Betaproteobacteria	Gammaproteobacteria	Others
LEGEND_SHAPES	1	1	1	1	1	1	1	1
LEGEND_TITLE	Taxonomy							
DATA								
HQB-136	range	#90EE90	Gammaproteobacteria					
HQB-137	range	#EE7600	Firmicutes					
HQB-138	range	#EE7600	Firmicutes					
HQB-139	range	#00CD00	Alphaproteobacteria					
HQB-140	range	#4F94CD	Bacteroidetes					
HQB-141	range	#EE7600	Firmicutes					
HQB-142	range	#90EE90	Gammaproteobacteria					
HQB-143	range	#00CD00	Alphaproteobacteria					
HQB-145	range	#00CD00	Alphaproteobacteria					
HQB-146	range	#EE7600	Firmicutes					
HQB-147	range	#4F94CD	Bacteroidetes					
HQB-148	range	#4F94CD	Bacteroidetes					
HQB-149	range	#43CD80	Betaproteobacteria					
HQB-151	range	#4F94CD	Bacteroidetes					
HQB-152	range	#00CD00	Alphaproteobacteria					
HQB-153	range	#EEE685	Actinobacteria					
HQB-154	range	#00CD00	Alphaproteobacteria					
HQB-155	range	#00CD00	Alphaproteobacteria					
HQB-156	range	#4F94CD	Bacteroidetes					
HQB-157	range	#00CD00	Alphaproteobacteria					
HQB-158	range	#EE7600	Firmicutes					
HQB-159	range	#90EE90	Gammaproteobacteria					
HQB-160	range	#4F94CD	Bacteroidetes					
HQB-161	range	#00CD00	Alphaproteobacteria					
HQB-162	range	#90EE90	Gammaproteobacteria					
HQB-163	range	#00CD00	Alphaproteobacteria					
HQB-164	range	#EE7600	Firmicutes					
HQB-165	range	#00CD00	Alphaproteobacteria					
HQB-166	range	#00CD00	Alphaproteobacteria					
HQB-167	range	#00CD00	Alphaproteobacteria					
HQB-168	range	#00CD00	Alphaproteobacteria					
HQB-169	range	#4F94CD	Bacteroidetes					
HQB-170	range	#90EE90	Gammaproteobacteria					
HQB-171	range	#90EE90	Gammaproteobacteria					
HQB-172	range	#90EE90	Gammaproteobacteria					
HQB-173	range	#90EE90	Gammaproteobacteria					
HQB-174	range	#90EE90	Gammaproteobacteria					
HQB-175	range	#90EE90	Gammaproteobacteria					
HQB-176	range	#00CD00	Alphaproteobacteria					
HQB-177	range	#00CD00	Alphaproteobacteria					
HQB-178	range	#4F94CD	Bacteroidetes					
HQB-179	range	#00CD00	Alphaproteobacteria					
HQB-180	range	#4F94CD	Bacteroidetes					
HQB-181	range	#EE7600	Firmicutes					
HQB-182	range	#90EE90	Gammaproteobacteria					
HQB-185	range	#90EE90	Gammaproteobacteria					
HQB-186	range	#90EE90	Gammaproteobacteria					
HQB-187	range	#90EE90	Gammaproteobacteria					
HQB-188	range	#90EE90	Gammaproteobacteria					
HQB-189	range	#90EE90	Gammaproteobacteria					
HQB-190	range	#90EE90	Gammaproteobacteria					
HQB-191	range	#90EE90	Gammaproteobacteria					
HQB-192	range	#90EE90	Gammaproteobacteria					
HQB-193	range	#90EE90	Gammaproteobacteria					
HQB-194	range	#EEE685	Actinobacteria					
HQB-196	range	#90EE90	Gammaproteobacteria					
HQB-198	range	#90EE90	Gammaproteobacteria					
HQB-199	range	#EE7600	Firmicutes					
HQB-200	range	#EE7600	Firmicutes					
HQB-201	range	#90EE90	Gammaproteobacteria					
HQB-202	range	#90EE90	Gammaproteobacteria					
HQB-203	range	#90EE90	Gammaproteobacteria					
HQB-204	range	#90EE90	Gammaproteobacteria					
HQB-205	range	#90EE90	Gammaproteobacteria					
HQB-206	range	#90EE90	Gammaproteobacteria					
HQB-207	range	#90EE90	Gammaproteobacteria					
HQB-208	range	#90EE90	Gammaproteobacteria					
HQB-209	range	#90EE90	Gammaproteobacteria					
HQB-210	range	#90EE90	Gammaproteobacteria					
HQB-211	range	#90EE90	Gammaproteobacteria					
HQB-212	range	#90EE90	Gammaproteobacteria					
HQB-213	range	#90EE90	Gammaproteobacteria					
HQB-214	range	#4F94CD	Bacteroidetes					
HQB-215	range	#00CD00	Alphaproteobacteria					
HQB-218	range	#00CD00	Alphaproteobacteria					
HQB-219	range	#EE7600	Firmicutes					
HQB-220	range	#4F94CD	Bacteroidetes					
HQB-221	range	#90EE90	Gammaproteobacteria					
HQB-222	range	#EEE685	Actinobacteria					
HQB-223	range	#90EE90	Gammaproteobacteria					
HQB-224	range	#EE7600	Firmicutes					
HQB-225	range	#90EE90	Gammaproteobacteria					
HQB-226	range	#90EE90	Gammaproteobacteria					
HQB-227	range	#90EE90	Gammaproteobacteria					
HQB-228	range	#EE7600	Firmicutes					
HQB-229	range	#90EE90	Gammaproteobacteria					
HQB-230	range	#4F94CD	Bacteroidetes					
HQB-232	range	#90EE90	Gammaproteobacteria					
HQB-233	range	#00CD00	Alphaproteobacteria					
HQB-234	range	#90EE90	Gammaproteobacteria					
HQB-235	range	#EE7600	Firmicutes					
HQB-236	range	#90EE90	Gammaproteobacteria					
HQB-237	range	#EEE685	Actinobacteria					
HQB-238	range	#00CD00	Alphaproteobacteria					
HQB-239	range	#90EE90	Gammaproteobacteria					
HQB-240	range	#90EE90	Gammaproteobacteria					
HQB-241	range	#90EE90	Gammaproteobacteria					
HQB-242	range	#EE7600	Firmicutes					
HQB-243	range	#90EE90	Gammaproteobacteria					
HQB-244	range	#90EE90	Gammaproteobacteria					
HQB-245	range	#4F94CD	Bacteroidetes					
HQB-246	range	#90EE90	Gammaproteobacteria					
HQB-247	range	#90EE90	Gammaproteobacteria					
HQB-248	range	#4F94CD	Bacteroidetes					
HQB-249	range	#EEE685	Actinobacteria					
HQB-250	range	#4F94CD	Bacteroidetes					
HQB-251	range	#4F94CD	Bacteroidetes					
HQB-252	range	#4F94CD	Bacteroidetes					
HQB-253	range	#90EE90	Gammaproteobacteria					
HQB-254	range	#90EE90	Gammaproteobacteria					
HQB-255	range	#90EE90	Gammaproteobacteria					
HQB-256	range	#90EE90	Gammaproteobacteria					
HQB-257	range	#90EE90	Gammaproteobacteria					
HQB-259	range	#90EE90	Gammaproteobacteria					
HQB-260	range	#4F94CD	Bacteroidetes					
HQB-261	range	#90EE90	Gammaproteobacteria					
HQB-263	range	#EE7600	Firmicutes					
HQB-264	range	#EE7600	Firmicutes					
HQB-265	range	#00CD00	Alphaproteobacteria					
HQB-266	range	#00CD00	Alphaproteobacteria					
HQB-267	range	#00CD00	Alphaproteobacteria					
HQB-268	range	#90EE90	Gammaproteobacteria					
HQB-269	range	#4F94CD	Bacteroidetes					
HQB-271	range	#90EE90	Gammaproteobacteria					
HQB-272	range	#90EE90	Gammaproteobacteria					
HQB-273	range	#4F94CD	Bacteroidetes					
HQB-274	range	#919191	Others					
HQB-275	range	#90EE90	Gammaproteobacteria					
HQB-276	range	#EEE685	Actinobacteria					
HQB-277	range	#90EE90	Gammaproteobacteria					
HQB-278	range	#EE7600	Firmicutes					
HQB-279	range	#00CD00	Alphaproteobacteria					
HQB-280	range	#4F94CD	Bacteroidetes					
HQB-281	range	#90EE90	Gammaproteobacteria					
HQB-282	range	#43CD80	Betaproteobacteria					
