DATASET_GRADIENT
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#fb9a99
COLOR_MAX	#FFFFE0
COLOR_MIN	#009ACD
DATASET_LABEL	Egg laying time of N2
LEGEND_COLORS	#e5e5e5	#e31a1c
#LEGEND_LABELS	Min. (5.7)	Max. (7.4)
LEGEND_SHAPES	1	1
LEGEND_TITLE	log2N2
MARGIN	1
STRIP_WIDTH	50
DATA
HQB-1	6.12246565817924
HQB-2	5.95419631038688
HQB-5	5.93073733756289
HQB-7	6.18982455888002
HQB-8	7.39231742277876
HQB-150	7.39231742277876
HQB-10	5.93336280696971
HQB-11	6.80309784950483
HQB-12	5.78135971352466
HQB-293	5.75488750216347
HQB-14	7.39231742277876
HQB-16	6.16992500144231
HQB-19	5.76965421287238
HQB-20	5.7279204545632
HQB-21	6.11084576868829
HQB-22	5.82442843541655
HQB-23	7.39231742277876
HQB-24	5.83289001416474
HQB-25	6.29774167849137
HQB-26	5.83289001416474
HQB-27	5.80735492205761
HQB-28	7.39231742277876
HQB-29	5.83289001416474
HQB-30	5.78135971352466
HQB-32	7.39231742277876
HQB-34	7.39231742277876
HQB-35	5.85798099512757
HQB-36	5.75488750216347
HQB-37	5.88264304936184
HQB-38	5.83289001416474
HQB-39	7.39231742277876
HQB-40	6.02236781302846
HQB-41	5.83289001416474
HQB-42	6.39231742277876
HQB-45	5.78135971352466
HQB-46	5.74146698640115
HQB-47	6.55458885167764
HQB-49	5.85798099512757
HQB-50	5.83289001416474
HQB-51	5.78135971352466
HQB-52	7.39231742277876
HQB-53	5.85798099512757
HQB-54	7.39231742277876
HQB-55	5.76081233612057
HQB-56	7.39231742277876
HQB-57	5.85798099512757
HQB-58	7.39231742277876
HQB-59	5.75488750216347
HQB-60	5.75488750216347
HQB-61	7.39231742277876
HQB-62	5.83289001416474
HQB-63	7.39231742277876
HQB-64	7.39231742277876
HQB-65	7.39231742277876
HQB-67	5.77267747042486
HQB-68	5.85798099512757
HQB-69	5.83289001416474
HQB-70	7.39231742277876
HQB-71	7.39231742277876
HQB-72	5.85798099512757
HQB-73	5.83289001416474
HQB-74	5.75488750216347
HQB-75	5.79585928321978
HQB-76	5.74595437739346
HQB-77	7.39231742277876
HQB-78	5.78135971352466
HQB-79	5.78135971352466
HQB-81	5.83289001416474
HQB-82	5.85798099512757
HQB-83	5.83289001416474
HQB-84	6.20300533751198
HQB-85	7.39231742277876
HQB-86	5.81591693556103
HQB-87	6.52356195605701
HQB-88	5.81591693556103
HQB-89	6.24792751344359
HQB-90	7.39231742277876
HQB-91	5.8116422804607
HQB-93	7.39231742277876
HQB-94	5.81875968532985
HQB-95	7.39231742277876
HQB-96	7.39231742277876
HQB-97	7.39231742277876
HQB-99	6.05528243550119
HQB-100	6
HQB-101	6.29149305325928
HQB-102	6
HQB-103	5.83289001416474
HQB-104	5.83289001416474
HQB-105	7.16992500144231
HQB-106	5.75488750216347
HQB-107	5.80735492205761
HQB-108	6.12928301694497
HQB-109	5.78135971352466
HQB-110	5.75042785397277
HQB-111	5.82442843541655
HQB-112	6.50255337981306
HQB-113	5.85798099512757
HQB-114	7.39231742277876
HQB-115	6.42071818337442
HQB-116	6.02967373462642
HQB-117	5.78135971352466
HQB-118	6.0260622965862
HQB-119	5.75488750216347
HQB-120	6.67948009950545
HQB-121	7.39231742277876
HQB-123	7.17990909001494
HQB-124	6.33985000288463
HQB-125	5.90689059560852
HQB-126	6.29149305325928
HQB-127	5.7987417917529
HQB-128	5.90689059560852
HQB-129	5.80735492205761
HQB-130	5.78135971352466
HQB-131	6.35755200461808
HQB-132	6.3037807481771
HQB-134	5.83289001416474
HQB-136	7.39231742277876
HQB-137	5.88264304936184
HQB-138	5.77478705960117
HQB-139	5.78135971352466
HQB-140	5.88264304936184
HQB-141	6.6582114827518
HQB-142	6.58496250072116
HQB-143	5.78135971352466
HQB-145	5.80735492205761
HQB-147	5.83289001416474
HQB-151	5.80735492205761
HQB-152	5.74595437739346
HQB-153	6.94251450533924
HQB-154	5.74595437739346
HQB-155	5.78135971352466
HQB-156	5.78135971352466
HQB-157	5.80735492205761
HQB-158	7.39231742277876
HQB-159	7.39231742277876
HQB-160	5.85798099512757
HQB-161	5.80735492205761
HQB-162	7.39231742277876
HQB-163	5.85798099512757
HQB-164	5.80735492205761
HQB-165	5.97727992349992
HQB-166	5.7279204545632
HQB-167	5.78135971352466
HQB-168	6
HQB-169	5.80735492205761
HQB-170	6.59991284218713
HQB-171	5.77258950389693
HQB-172	5.73996808232773
HQB-173	5.75488750216347
HQB-174	5.73094180653844
HQB-176	7.39231742277876
HQB-177	5.71881824745595
HQB-178	5.78135971352466
HQB-179	5.71881824745595
HQB-180	5.92283213947754
HQB-181	7.39231742277876
HQB-182	5.80735492205761
HQB-185	5.78135971352466
HQB-186	5.83289001416474
HQB-187	5.75488750216347
HQB-188	5.78135971352466
HQB-189	5.75488750216347
HQB-190	5.80735492205761
HQB-191	5.79882817809111
HQB-192	5.88264304936184
HQB-193	5.88264304936184
HQB-194	6.7279204545632
HQB-196	5.80735492205761
HQB-198	6.4262647547021
HQB-199	5.83289001416474
HQB-200	6.6724253419715
HQB-201	7.39231742277876
HQB-202	5.78135971352466
HQB-203	6.35755200461808
HQB-204	6.02236781302846
HQB-205	6.12928301694497
HQB-206	5.80735492205761
HQB-207	5.83289001416474
HQB-208	7.16992500144231
HQB-209	5.8497491172824
HQB-210	5.83289001416474
HQB-211	6.90689059560852
HQB-212	6.31596466980603
HQB-213	5.78135971352466
