A,1
B,1
C,215
D,49
E,300
F,82
G,170
H,144
I,119
J,202
K,254
L,132
M,204
N,106
O,128
P,216
Q,77
S,683
T,237
U,103
V,37
W,0
Z,1
sum,3461
